id;start_date;end_date;language
1;2021-04-01T10:48:42;2021-04-01T08:38:57;ENGLISH
2;2021-03-31T20:16:17;2021-04-01T05:41:46;FRENCH
3;2021-04-01T06:12:29;2021-03-31T18:17:37;SPANISH
4;2021-04-01T10:43:18;2021-03-31T16:09:37;FRENCH
5;2021-04-01T12:59:41;2021-03-31T21:18:39;ENGLISH
6;2021-03-31T22:30:24;2021-04-01T12:30:44;SPANISH
7;2021-04-01T06:34:12;2021-03-31T17:08:21;FRENCH
8;2021-03-31T21:00:05;2021-03-31T17:35:54;FRENCH
9;2021-03-31T21:51:43;2021-04-01T09:23:09;FRENCH
10;2021-03-31T17:48:41;2021-04-01T10:46:10;FRENCH
